SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-14-2022,Single Family Residential,7548 29th Ave NW,Seattle,WA,98117,757500,2,1.0,Sunset Hill,710,5736,1943,,1067,,Sold,,,https://www.redfin.com/WA/Seattle/7548-29th-Ave-NW-98117/home/164517,NWMLS as Distributed by MLS Grid,2014551,N,Y,47.6845369,-122.3940882
PAST SALE,June-27-2023,Townhouse,808 NW 83rd St,Seattle,WA,98117,635000,2,1.5,Whittier,1140,951,2003,,557,,Sold,,,https://www.redfin.com/WA/Seattle/808-NW-83rd-St-98117/home/497914,NWMLS as Distributed by MLS Grid,2068612,N,Y,47.6892899,-122.3664732
PAST SALE,July-31-2023,Single Family Residential,2761 NW 85th St,Seattle,WA,98117,610000,2,2.5,Loyal Heights,1330,1704,2008,,459,,Sold,,,https://www.redfin.com/WA/Seattle/2761-NW-85th-St-98117/home/12449184,NWMLS as Distributed by MLS Grid,2129718,N,Y,47.6904287,-122.3927053
PAST SALE,May-18-2023,Condo/Co-op,8501 12th Ave NW #205,Seattle,WA,98117,449000,2,2.0,Crown Hill,1253,,1980,,358,501,Sold,,,https://www.redfin.com/WA/Seattle/8501-12th-Ave-NW-98117/unit-205/home/5052,NWMLS as Distributed by MLS Grid,2023042,N,Y,47.6909644,-122.371777
PAST SALE,October-3-2023,Townhouse,339 NW 81st St,Seattle,WA,98117,800000,2,2.0,Seattle,1125,4800,2023,,711,35,Sold,,,https://www.redfin.com/WA/Seattle/339-NW-81st-St-98117/home/187550124,NWMLS as Distributed by MLS Grid,2163258,N,Y,47.6874633,-122.3624419
PAST SALE,January-12-2023,Single Family Residential,8660 A 13th Ave NW,Seattle,WA,98117,599000,2,2.5,Crown Hill,1069,964,2022,,560,10,Sold,,,https://www.redfin.com/WA/Seattle/8660-13th-Ave-NW-98117/home/182992274,NWMLS as Distributed by MLS Grid,2018703,N,Y,47.6924563,-122.3723971
PAST SALE,,Single Family Residential,9012 4th Ave NW,Seattle,WA,98117,425000,2,1.0,,640,5040,1946,,664,,,,,https://www.redfin.com/WA/Seattle/9012-4th-Ave-NW-98117/home/100936,,,N,Y,47.6947055,-122.3617117
PAST SALE,January-11-2023,Single Family Residential,6208 NW 98th,Seattle,WA,98117,750000,0,,North Beach,760,5250,1927,,987,,Sold,,,https://www.redfin.com/WA/Seattle/6208-NW-98th-St-98117/home/183786517,NWMLS as Distributed by MLS Grid,2027464,N,Y,47.7000479,-122.3886408
PAST SALE,April-28-2023,Single Family Residential,9711 4th Ave NW,Seattle,WA,98117,780000,2,2.0,Greenwood,1200,1,2023,,650,49,Sold,,,https://www.redfin.com/WA/Seattle/9711-4th-Ave-NW-98117/home/185359160,NWMLS as Distributed by MLS Grid,2065290,N,Y,47.700091,-122.3622952
PAST SALE,December-28-2022,Single Family Residential,6519 Earl Ave NW,Seattle,WA,98117,1250000,0,,Ballard,1730,3825,1928,,723,,Sold,,,https://www.redfin.com/WA/Seattle/6519-Earl-Ave-NW-98117/home/163533,NWMLS as Distributed by MLS Grid,2024265,N,Y,47.6765306,-122.392162
PAST SALE,,Single Family Residential,8326 32nd Ave NW,Seattle,WA,98117,765000,2,2.0,,1180,5565,1918,,648,,,,,https://www.redfin.com/WA/Seattle/8326-32nd-Ave-NW-98117/home/165585,,,N,Y,47.6892582,-122.397896
PAST SALE,March-6-2023,Single Family Residential,7735 20th Ave NW,Seattle,WA,98117,978500,2,2.0,Loyal Heights,1810,4141,1942,,541,,Sold,,,https://www.redfin.com/WA/Seattle/7735-20th-Ave-NW-98117/home/163160,NWMLS as Distributed by MLS Grid,2042833,N,Y,47.6860235,-122.3824718
PAST SALE,November-28-2022,Townhouse,8319 C 14th Ave NW,Seattle,WA,98117,710000,2,2.0,Ballard,1240,583,2022,,573,,Sold,,,https://www.redfin.com/WA/Seattle/8319-14th-Ave-NW-98117/unit-A/home/178442579,NWMLS as Distributed by MLS Grid,1999086,N,Y,47.6891548,-122.3747224
PAST SALE,October-26-2023,Townhouse,1410 NW 92nd St,Seattle,WA,98117,669000,2,2.0,Crown Hill,1164,1,2023,,575,53,Sold,,,https://www.redfin.com/WA/Seattle/1410-NW-92nd-St-98117/home/180703309,NWMLS as Distributed by MLS Grid,2175643,N,Y,47.6961938,-122.3745287
PAST SALE,May-5-2023,Townhouse,8011 B Mary Ave NW,Seattle,WA,98117,600000,2,2.0,Whittier,979,595,2023,,613,,Sold,,,https://www.redfin.com/WA/Seattle/8011-Mary-Ave-NW-98117/unit-B/home/496438,NWMLS as Distributed by MLS Grid,2054787,N,Y,47.687267,-122.3758094
PAST SALE,June-16-2023,Condo/Co-op,7743 14th Ave NW Unit B,Seattle,WA,98117,672000,2,2.5,Whittier,840,1115,2023,,800,238,Sold,,,https://www.redfin.com/WA/Seattle/7743-14th-Ave-NW-98117/unit-B/home/185139365,NWMLS as Distributed by MLS Grid,2055592,N,Y,47.6863927,-122.374688
PAST SALE,June-2-2023,Condo/Co-op,6730 17th Ave NW Unit C,Seattle,WA,98117,725000,2,2.5,Ballard,950,1550,2023,,763,271,Sold,,,https://www.redfin.com/WA/Seattle/6730-17th-Ave-NW-98117/unit-C/home/185396025,NWMLS as Distributed by MLS Grid,2059723,N,Y,47.6786402,-122.3786161
PAST SALE,October-26-2023,Townhouse,1418 NW 92nd St,Seattle,WA,98117,669000,2,2.0,Crown Hill,1164,1,2023,,575,53,Sold,,,https://www.redfin.com/WA/Seattle/1418-NW-92nd-St-98117/home/177933248,NWMLS as Distributed by MLS Grid,2175645,N,Y,47.6962603,-122.3748608
PAST SALE,,Single Family Residential,9745 Mary Ave NW,Seattle,WA,98117,1210000,3,1.5,,1870,13452,1952,,647,,,,,https://www.redfin.com/WA/Seattle/9745-Mary-Ave-NW-98117/home/96420,,,N,Y,47.7012627,-122.3757842
PAST SALE,May-31-2023,Single Family Residential,3026 65th,Seattle,WA,98117,700000,1,2.0,Sunset Hill,2230,5000,1907,,314,,Sold,,,https://www.redfin.com/WA/Seattle/3026-NW-65th-St-98117/home/163424,NWMLS as Distributed by MLS Grid,2076011,N,Y,47.6760894,-122.3969533
PAST SALE,,Single Family Residential,332 NW 86th St,Seattle,WA,98117,600000,2,1.0,,890,4600,1909,,674,,,,,https://www.redfin.com/WA/Seattle/332-NW-86th-St-98117/home/101075,,,N,Y,47.6915438,-122.3621299
PAST SALE,December-16-2022,Townhouse,9206 Mary Ave NW,Seattle,WA,98117,730694,2,2.0,Crown Hill,1227,8280,2021,,596,,Sold,,,https://www.redfin.com/WA/Seattle/9206-Mary-Ave-NW-98117/home/177153494,NWMLS as Distributed by MLS Grid,1863094,N,Y,47.6963213,-122.3752367
PAST SALE,November-22-2022,Townhouse,2918 NW 80th St,Seattle,WA,98117,850000,2,1.5,Sunset Hill,1065,1138,2022,,798,22,Sold,,,https://www.redfin.com/WA/Seattle/2918-NW-80th-St-98117/home/183013483,NWMLS as Distributed by MLS Grid,2018991,N,Y,47.686896,-122.387825
PAST SALE,October-26-2023,Townhouse,1404 NW 92nd St,Seattle,WA,98117,669000,2,2.0,Crown Hill,1164,1,2023,,575,53,Sold,,,https://www.redfin.com/WA/Seattle/1404-NW-92nd-St-98117/home/179417292,NWMLS as Distributed by MLS Grid,2175640,N,Y,47.6960639,-122.3741803
PAST SALE,July-31-2023,Condo/Co-op,6755 25th Ave NW #2,Seattle,WA,98117,549500,1,1.5,Ballard,714,1254,2023,,770,17,Sold,,,https://www.redfin.com/WA/Seattle/6755-25th-Ave-NW-98117/unit-2/home/186038202,NWMLS as Distributed by MLS Grid,2136814,N,Y,47.6792615,-122.3889529
PAST SALE,June-21-2023,Single Family Residential,8053 12th Ave NW,Seattle,WA,98117,675000,2,1.0,Whittier,810,2395,1941,,833,1,Sold,,,https://www.redfin.com/WA/Seattle/8053-12th-Ave-NW-98117/home/185540334,NWMLS as Distributed by MLS Grid,2065689,N,Y,47.6883897,-122.371701
