SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-27-2022,Single Family Residential,2650 NW 204th St,Shoreline,WA,98177,1900000,4,2.5,Richmond Beach,3410,7445,1993,,557,29,Sold,,,https://www.redfin.com/WA/Shoreline/2650-NW-204th-St-98177/home/74161,NWMLS as Distributed by MLS Grid,2019630,N,Y,47.7774079,-122.3928456
PAST SALE,March-3-2023,Single Family Residential,10002 Dibble Ave NW,Seattle,WA,98177,860000,3,1.0,Crown Hill,1180,8375,1948,,729,,Sold,,,https://www.redfin.com/WA/Seattle/10002-Dibble-Ave-NW-98177/home/95504,NWMLS as Distributed by MLS Grid,2032401,N,Y,47.7016849,-122.3670975
PAST SALE,August-28-2023,Single Family Residential,10317 3rd Ave NW,Seattle,WA,98177,1000000,5,3.0,Broadview,2090,5629,1935,,478,16,Sold,,,https://www.redfin.com/WA/Seattle/10317-3rd-Ave-NW-98177/home/97109,NWMLS as Distributed by MLS Grid,2148482,N,Y,47.7040467,-122.3611066
PAST SALE,June-29-2023,Single Family Residential,11720 4th Ave NW,Seattle,WA,98177,870501,3,1.0,Broadview,1380,8100,1947,,631,,Sold,,,https://www.redfin.com/WA/Seattle/11720-4th-Ave-NW-98177/home/290721,NWMLS as Distributed by MLS Grid,2074589,N,Y,47.7148842,-122.3619653
PAST SALE,August-11-2023,Single Family Residential,10729 9th Ave NW,Seattle,WA,98177,955000,3,1.0,North Beach,1590,7242,1953,,601,,Sold,,,https://www.redfin.com/WA/Seattle/10729-9th-Ave-NW-98177/home/96986,NWMLS as Distributed by MLS Grid,2140624,N,Y,47.7076017,-122.3687606
PAST SALE,August-28-2023,Single Family Residential,10340 14th Ave NW,Seattle,WA,98177,910000,3,2.0,Crown Hill,1620,6930,1950,,562,,Sold,,,https://www.redfin.com/WA/Seattle/10340-14th-Ave-NW-98177/home/95808,NWMLS as Distributed by MLS Grid,2156327,N,Y,47.7045973,-122.3737779
PAST SALE,,Single Family Residential,10738 9th Ave NW,Seattle,WA,98177,950000,3,1.5,,1640,53143,1954,,579,,,,,https://www.redfin.com/WA/Seattle/10738-9th-Ave-NW-98177/home/96976,,,N,Y,47.707984,-122.3683471
PAST SALE,,Single Family Residential,19041 20th Ave NW,Shoreline,WA,98177,264300,2,1.0,,1060,9480,1952,,249,,,,,https://www.redfin.com/WA/Shoreline/19041-20th-Ave-NW-98177/home/74310,,,N,Y,47.7681957,-122.3829668
PAST SALE,May-3-2023,Townhouse,10429 F Alderbrook Pl NW,Seattle,WA,98177,625000,2,2.0,Crown Hill,1084,697,2022,,577,,Sold,,,https://www.redfin.com/WA/Seattle/10429F-Alderbrook-Pl-NW-98177/home/185002558,NWMLS as Distributed by MLS Grid,2053586,N,Y,47.704669,-122.365288
PAST SALE,March-1-2023,Condo/Co-op,1821 NW 195th St #8,Shoreline,WA,98177,752500,2,2.0,Richmond Beach,1520,,1973,,495,435,Sold,,,https://www.redfin.com/WA/Shoreline/1821-NW-195th-St-98177/unit-8/home/52059,NWMLS as Distributed by MLS Grid,2042223,N,Y,47.7698732,-122.3807703
