SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,Description
PAST SALE,September-22-2023,Single Family Residential,4307 12th Ave S,Seattle,WA,98108,780000,2.0,1.5,Beacon Hill,1560.0,5760.0,1940.0,,500.0,,Sold,,,https://www.redfin.com/WA/Seattle/4307-12th-Ave-S-98108/home/170225,NWMLS as Distributed by MLS Grid,2158213.0,N,Y,47.5650542,-122.3176226,"Don’t miss this adorable Beacon Hill home. The desirable location is just blocks from Jefferson Park, the golf course, Maple Wood Playfield, amazing local restaurants, and easy access to the light rail, I-5 & I-90. Freshly updated bathroom, kitchen, paint, & lighting. Mature landscaping with a large backyard for gardening, outdoor entertaining, and a play area. Many possibilities in the basement with high ceiling height and a separate entrance; a home office, additional bedrooms, rec room, or MIL. The existing basement water closet just needs a shower and/or tub to make a ¾ or full bath. Newer furnace and mini-split with A/C. Show less"
PAST SALE,February-15-2023,Single Family Residential,6942 Flora Ave S,Seattle,WA,98108,600000,3.0,1.5,Georgetown,2000.0,4000.0,1919.0,,300.0,,Sold,,,https://www.redfin.com/WA/Seattle/6942-Flora-Ave-S-98108/home/179731960,NWMLS as Distributed by MLS Grid,2025149.0,N,Y,47.5398399,-122.3211605,"Own a piece of Seattle music history! This charming craftsman home was once owned by the legendary Tucker Martine and features recording studio that, according to local folklore, Modest Mouse once recorded in their early years! Enter into a bright, spacious living area with 2bdrms, including the primary on the main floor. Upstairs, you will find a large loft bedroom with .5 bath and windows on all sides! The kitchen has plenty of natural light, usable space, and a back door that opens up to a fully fenced yard with a paver patio, chicken coop - Pvt parking space inside the fence. The basement is where you find the magic! Massive room in addition to the music studio. Just minutes to I5, 99, 90 W-SEA bridge, excellent restaurants + more! Show less"
PAST SALE,July-26-2023,Single Family Residential,746 S Director St,Seattle,WA,98108,490000,2.0,1.0,South Park,650.0,3600.0,1929.0,,754.0,,Sold,,,https://www.redfin.com/WA/Seattle/746-S-Director-St-98108/home/477079,NWMLS as Distributed by MLS Grid,2126521.0,N,Y,47.5224064,-122.32370590000001,"Small house, BIG personality. This bungalow has got it going on! Trust us, you want this. SouthPark is hip. Excellent commuter location. Cozy up at cool restaurants-best burger at Loretta's, diner classics at Uncle Eddie's or foodtrucks: MoMo's Kebab, Taco Trucks. Bop down to Riverfront. Stroll your street to the park & play catch w/your pup or tend to your plot at the p-patch. About the house: the square floorplan is perfect-open & inviting (read-lives larger than she is). Open kitchen w/ concrete countertop, gas range. Fenced lot, raised garden beds. Ample parking:garage+off street. WFH? Great, AWEsome built-in desk is ready. Rock climb? Neat, gripwall pre-assembled. This house makes it easy to live your best life. Told you, you want it. Show less"
PAST SALE,April-24-2023,Townhouse,8521 7th Ave S Unit D,Seattle,WA,98108,558000,2.0,2.0,South Park,1060.0,780.0,2018.0,,526.0,,Sold,,,https://www.redfin.com/WA/Seattle/8521-7th-Ave-S-98108/unit-D/home/145709769,NWMLS as Distributed by MLS Grid,2049264.0,N,Y,47.526680799999994,-122.32577140000002,"Artfully detailed and beautifully maintained, this turn-key urban oasis in South Park is calling you home! The main floor is all about an efficient, open floor plan: floor-to-ceiling window. Kitchen boasts high end stainless steel appliances, including 5 burner gas range and stone counters. Two bedrooms, including the main with ensuite, a full-bath + full-sized washer/dryer are upstairs. Crowning it all with the rooftop deck is plumbed for gas ready for summer fun. Cool A/C with a one car, secure parking garage & a stellar location with great access to major routes, transit options, parks, cafes and restaurants. No HOA dues! See it today before it’s gone! Show less"
PAST SALE,June-22-2023,Single Family Residential,1047 S Donovan St,Seattle,WA,98108,720000,3.0,1.0,South Park,1690.0,6000.0,1900.0,,426.0,,Sold,,,https://www.redfin.com/WA/Seattle/1047-S-Donovan-St-98108/home/477282,NWMLS as Distributed by MLS Grid,2073644.0,N,Y,47.5253993,-122.31824270000001,"You won't want to miss seeing this stunning architectural gem in south Seattle-beautiful, well maintained, original Seattle craftsman sitting on a landscaped lot of  magnificent plantings. The fully fenced backyard is impressive in its design with a flagstone patio, fire pit, BBQ gazebo, fenced organic garden area & an exploding palette of NW plantings. The classic home itself, with it's updated systems, embodies the warmth & charm associated with Craftsman design, with its wood wrapped windows, leaded glass & original fir floors. Large, inviting windows with multipaned designs allow an abundance of natural light to flood the interior spaces. Lower level includes storage, laundry, shop & non-conforming 4th bedroom. Epic property! Show less"
PAST SALE,August-24-2023,Single Family Residential,821 S Trenton St,Seattle,WA,98108,724750,5.0,3.0,West Seattle,2830.0,4500.0,1918.0,,256.0,,Sold,,,https://www.redfin.com/WA/Seattle/821-S-Trenton-St-98108/home/477698,NWMLS as Distributed by MLS Grid,2130239.0,N,Y,47.5245614,-122.32198659999999,"Amazing opp for XL corner lot, classic Seattle craftsman, and an ADU! Meet charm and functionality in a 2,000+ sq ft trendy primary residence complete with bamboo floors, XL kitchen space w/ potential, a charming full bath with clawfoot bathtub/shower, 2 mudrooms and storage/pantry space. Downstairs are 2 large tucked away storage spaces, a full bath, 2 beds, laundry room and storage room. Outside you'll find a fully fenced and landscaped yard, 4+ uncovered parking spots, and the 1 bed/1 bath fully finished ADU. Rent it out or use as a MIL! New roof + insulation 2020, new exterior paint 2022, new heat pump (A/C) + water heater 2018. The South Park community=easy access to Georgetown & minutes to DT Seattle, Sea-Tac Airport, & I-5. Show less"
PAST SALE,December-9-2022,Single Family Residential,4343 14th Ave S,Seattle,WA,98108,925000,4.0,2.0,Beacon Hill,2420.0,4800.0,1930.0,,382.0,,Sold,,,https://www.redfin.com/WA/Seattle/4343-14th-Ave-S-98108/home/169945,NWMLS as Distributed by MLS Grid,2009399.0,N,Y,47.5639768,-122.31506929999999,"Perched up above the street this stunning Beacon Hill brick Tudor is a show stopper! Enter the home through the charming covered front porch. Spacious light-filled living room features newly refinished original hardwood floors & a fireplace perfect for cool autumn evenings! Coved ceilings & period details throughout! Beautifully remodeled kitchen & adjacent dining area are perfect for entertaining. Two well sized bedrooms & a full bath on the main. Two additional bedrooms, one offering mountain views located upstairs. Basement has a family room/den, remodeled ¾ bath, & ample storage. Level backyard with raised garden beds. Huge 2 car detached garage. Easy access to the Light Rail, local shopping/restaurants, SeaTac, & downtown! Show less"
PAST SALE,March-27-2023,Single Family Residential,5210 13th Ave S,Seattle,WA,98108,1235000,4.0,3.5,Beacon Hill,3120.0,4465.0,2019.0,,396.0,,Sold,,,https://www.redfin.com/WA/Seattle/5210-13th-Ave-S-98108/home/167394865,NWMLS as Distributed by MLS Grid,2027059.0,N,Y,47.5552339,-122.31580919999999,"Welcome home! Like new, 2020 built Modern home. This home features a grand entry level with open kitchen and living room with engineered hardwoods throughout. Kitchen features Quartz counters, sleek Black Stainless Steel appliances and walk in pantry. Primary suite has five piece bathroom featuring a soaking tub, private deck, huge walk in closet with built in closet system. Large one bedroom unit on top level, with separate kitchen, laundry, and 500 sqft deck for entertaining (Stairs can be added to create private entrance - ask for details). Olympic Mountain views throughout! Close to all Georgetown restaurants and minutes to Downtown. Show less"
PAST SALE,January-10-2023,Townhouse,2815 S Columbian Way,Seattle,WA,98108,760000,3.0,2.0,Columbia City,1510.0,1407.0,2006.0,,503.0,271.0,Sold,,,https://www.redfin.com/WA/Seattle/2815-S-Columbian-Way-98108/home/8187295,NWMLS as Distributed by MLS Grid,2003626.0,N,Y,47.5619004,-122.2963896,"Modern 3BR townhome in an award-winning Master Planned Community. Home features African Wenge hardwoods, large commercial-grade windows for abundant natural light & in-floor radiant heat throughout. High ceilings, open staircase on the main; central kitchen w/ granite & PaperStone counters, SS appliances. Fresh paint throughout & new carpet. Fenced patio w/ garden bed, detached garage, amazing location with onsite parks/playground, P-patch & Cheasty Trails is just a block away. Enjoy nature without leaving the city! 2-blocks from Light Rail (quick access to the airport, ball games, Downtown). Restaurants in Columbia City, PCC, & Farmers Market are minutes away. Fantastic location! Potential .25% mortgage rate discount w/Bay Equity!! Show less"
PAST SALE,September-12-2023,Single Family Residential,4225 11th Ave S,Seattle,WA,98108,490000,2.0,2.0,Beacon Hill,1820.0,5225.0,1947.0,,269.0,,Sold,,,https://www.redfin.com/WA/Seattle/4225-11th-Ave-S-98108/home/169852,NWMLS as Distributed by MLS Grid,2126450.0,N,Y,47.5659844,-122.3180638,"Fantastic opportunity to bring your vision to this one story home with partially finished basement in Beacon Hill. This charming home boasts 2 bedrooms & 1 bath on the main and 2 non-conforming bedrooms/den in the lower level. Spacious living room with fireplace with slider to large covered deck. Basement has great rental income potential! It has a separate entrance with a kitchen and updated 3/4 bath. Private backyard for gathering and gardening. Great location near Jefferson Park. A short ride to the Light Rail Station and amazing restaurants on Beacon Ave (Bar del Corso, Perihelion Brewery, Homer). Columbia City is just down the street too! Quick commute to Downtown, SLU & the Eastside! Show less"
