SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,Description
PAST SALE,April-28-2023,Single Family Residential,3234 NE 88th St,Seattle,WA,98115,735000,2.0,1.0,Wedgwood,860.0,6630.0,1947.0,,855.0,,Sold,,,https://www.redfin.com/WA/Seattle/3234-NE-88th-St-98115/home/317083,NWMLS as Distributed by MLS Grid,2052861.0,N,Y,47.6925688,-122.291905,"Situated on an oversized lot on a charming street in the heart of Wedgwood sits this inviting, updated Cape Cod. This south-facing abode is warm & welcoming as you enter into the light-filled living room w/ gleaming floors, stone fireplace & windows galore. A cozy dining area leads to the remodeled kitchen w/ heated slate flooring, custom cabinet, & stainless steel appliances. Flex space off the kitchen makes for great formal dining or sitting room. French doors open to the patio, private landscaped yard, large detached garage & storage room. 2 bedrooms, a small office & a full bath complete this ideally laid out rambler. Blocks to top-rated schools, coffee shops, grocery, & restaurants; w/ easy access to U-Village, UW, Magnuson, I5 & 520. Show less"
PAST SALE,February-6-2023,Condo/Co-op,7323 Sand Point Way NE #311,Seattle,WA,98115,319000,1.0,1.0,Sand Point,662.0,,1985.0,,482.0,471.0,Sold,,,https://www.redfin.com/WA/Seattle/7323-Sand-Point-Way-NE-98115/unit-311/home/12093288,NWMLS as Distributed by MLS Grid,2026563.0,N,Y,47.6819329,-122.2640733,"Welcome to this turnkey top floor unit in The Court at Sand Point. This South facing one bedroom home has a great functional layout, hardwood floors, cozy fireplace, and updated kitchen with skylight, stainless steel appliances and granite countertops. Spacious bedroom with full wall of closets. Oversized bathroom with new floors and vanity. Washer and dryer in unit. Enjoy morning coffee from the private deck overlooking the peaceful quart yard. Dedicated parking in the secure garage. Conveniently located and minutes away from Magnuson Park, Burke Gilman Trail, Seattle Children’s Hospital, University of Washington, and U-Village. No rental cap. Show less"
PAST SALE,June-29-2023,Single Family Residential,1118 NE 80th St,Seattle,WA,98115,760000,2.0,2.0,Maple Leaf,890.0,3600.0,1926.0,,854.0,,Sold,,,https://www.redfin.com/WA/Seattle/1118-NE-80th-St-98115/home/108624,NWMLS as Distributed by MLS Grid,2071578.0,N,Y,47.6868891,-122.31535290000001,"Welcome to Maple Leaf! Charming 3 BD, 1.75 BA home in a central location of N Seattle. Relax in a spacious living room to admire molding, trim work and arched doorways that lead into a bright, efficient kitchen and light-filled, dining room. The basement offers a separate entrance with updates to create a separate living or recreation space. The fenced backyard offers privacy and is partially covered for enjoyment year round. Garage parking with 2 off-street spots. Located within minutes of I-5, Roosevelt station and numerous shops and restaurants. Show less"
PAST SALE,June-2-2023,Condo/Co-op,7001 Sand Point Way NE Unit C306,Seattle,WA,98115,440000,2.0,2.0,View Ridge,978.0,,1970.0,,450.0,674.0,Sold,,,https://www.redfin.com/WA/Seattle/7001-Sand-Point-Way-NE-98115/unit-C306/home/63103,NWMLS as Distributed by MLS Grid,2057463.0,N,Y,47.67989620000001,-122.2639892,"Beautifully updated 2-bedroom home in the 7001 Condominiums of Seattle’s Sand Point neighborhood. This 3rd floor unit features a spacious floorplan, newly remodeled kitchen & bathrooms, private deck, and generous primary bedroom w/ en-suite & walk in closet. Dedicated storage + parking in the secure garage. Fully renovated common areas incl. new roof, siding, windows, carpet, flooring & light fixtures. Well-managed HOA w/ fantastic amenities: on-site laundry, ample guest parking, gym, sauna, pool, cabana, bike storage & package lockers. Conveniently located minutes away from Light Rail, UW, U-Village, Seattle Children’s Hospital, the Burke Gilman Trail & Magnuson Park. Easy access to I-5, 520 & downtown Seattle. No rental cap, pet friendly! Show less"
PAST SALE,June-21-2023,Condo/Co-op,5844 NE 75th St Unit A302,Seattle,WA,98115,323500,1.0,1.0,View Ridge,685.0,,1977.0,,472.0,363.0,Sold,,,https://www.redfin.com/WA/Seattle/5844-NE-75th-St-98115/unit-A302/home/58842,NWMLS as Distributed by MLS Grid,2066468.0,N,Y,47.683446,-122.2645779,"This fabulous Sand Point condo has it all! Enter into a freshly painted home w/ sunshine streaming through all the windows. In the summer you can lounge by the community pool, enjoy the breeze on your newly resurfaced balcony, or take a dip in the cool waters of Matthews Beach just minutes away. In the winter, enjoy a warm beverage cozied up to your own wood burning stove or relax in the nearby community clubhouse/rec room or sauna. So many options! Wonderful unit for yourself or current/future investment w/ low monthly dues, a well-run HOA & NO RENTAL CAP! Designated parking spot. Extra storage room. Close to public transit & minutes from Magnuson Park, U-Village, UW & more! Direct access to Burke-Gilman trail. Don’t miss this opportunity! Show less"
PAST SALE,,Condo/Co-op,401 NE 71st St #201,Seattle,WA,98115,1020000,2.0,2.0,,1153.0,,2003.0,,885.0,,,,,https://www.redfin.com/WA/Seattle/401-NE-71st-St-98115/unit-201/home/24354,,,N,Y,47.6797299,-122.3242445,"Spectacular, rarely available 2 bedroom / 1.75 bathroom Greenlake condo! Wrap-around windows flood space with natural light. Upgraded mill work, custom shutters, two prime parking spots & two over-sized storage units. Open kitchen design with stainless steel appliances, gas range, granite island, & custom luxe pendants. Private, spacious patio with urban gardening and direct access to courtyard. High-end upgrades include Elfa closets, new TV, custom wall paper, drapes, and plush eco carpets. Show less"
PAST SALE,,Single Family Residential,1210 NE 96th St,Seattle,WA,98115,750000,2.0,2.0,,1420.0,5110.0,1927.0,,528.0,,,,,https://www.redfin.com/WA/Seattle/1210-NE-96th-St-98115/home/109085,,,N,Y,47.6987623,-122.31431570000001,"Charming & undeniably special, you'll fall in love w/ this Spanish style bungalow tucked away on a quiet street in the heart Maple Leaf. There’s no shortage of curb appeal w/ beautiful landscaping, water feature, palm trees & delightful front porch. Head inside to find a wonderful layout that is spacious & filled w/ South facing light. The main floor boasts a sunny living room, kitchen w/ granite counters, oversized bedroom & full bath. Downstairs, a finished basement w/ ¾ bath & laundry offers the perfect rec-room or potential to add a 2nd bed. Fully fenced backyard w/ entertainer’s deck & huge detached garage w/ alley access & ample shop space. All in an ideal location close Northgate Transit Center, Kraken Iceplex, UW, Green Lake + more. Show less"
PAST SALE,,Condo/Co-op,5829 NE 75th St Unit A338,Seattle,WA,98115,359950,1.0,1.0,,800.0,,1979.0,,450.0,,,,,https://www.redfin.com/WA/Seattle/5829-NE-75th-St-98115/unit-A338/home/22684803,,,N,Y,47.6825969,-122.2649777,"Converted in 2006- Immaculate 1 Bedroom, 1 Bath - Split Level, End Unit Condo! Stainless Steel Appliances, Granite Countertops, Cherry Cabinets, Upgraded Slate Floors in Bath.  New designer paint and updated carpeting. Wood burning fireplace and private balcony with storage. Assigned Parking Spot! Partial Views of Lake Washington, Cascade Mountains and Mt Rainier. Private gate entrance to Burke Gilman Trail! Walk to Magnuson Park across the street.  2 - 3 Miles from University Village and UW! Show less"
PAST SALE,February-24-2023,Condo/Co-op,5824 NE 75th St Unit D101,Seattle,WA,98115,399000,2.0,2.0,View Ridge,850.0,,1977.0,,469.0,475.0,Sold,,,https://www.redfin.com/WA/Seattle/5824-NE-75th-St-98115/unit-D101/home/51057,NWMLS as Distributed by MLS Grid,2024343.0,N,Y,47.6832844,-122.26505990000001,"Terrific opportunity to own this move-in ready end unit! Open concept design with spacious & bright rooms and bamboo flooring. Private deck featuring views of Cascade Mtns. Sizeable primary suite with a full bath & wall of closets. 2nd Bedroom/home office + a main bath with big walk-in shower. Great location for bus or bike commuters to UW & NE Seattle w/ private access to Burke-Gilman Trail. Situated across from Magnuson Park & Lake WA, this unit is conveniently located to Children's Hospital & U-Village. Amenities: on-site manager, pool, clubhouse, game room, sauna & hot tub. Dedicated parking & secure storage room. Low HOA dues. New roof, siding, double pane windows & decks in 2016. No special assessment; Pet Friendly & No rental Cap! Show less"
PAST SALE,May-18-2023,Condo/Co-op,413 NE 70th St #303,Seattle,WA,98115,490000,1.0,1.0,Green Lake,670.0,,2007.0,,731.0,454.0,Sold,,,https://www.redfin.com/WA/Seattle/413-NE-70th-St-98115/unit-303/home/17383055,NWMLS as Distributed by MLS Grid,2044955.0,N,Y,47.6790114,-122.32412659999999,"Experience modern living in this spacious & bright condo located in the highly sought-after Green Lake Village! Sleek & stylish finishes throughout including new hardwood floors, stainless steel appliances, French door fridge, gas cooking, Quartz countertops & bamboo cabinets. Large bedroom w/ huge window & custom closet. In-unit washer/dryer. Florera is LEED Silver certified w/ rooftop deck, courtyard, residents lounge, secured lobby & dedicated garage parking. Stroll to delicious neighborhood eateries & cafés, shops, yoga, Green Lake Park & Loop Trail. Close to Roosevelt light rail for easy access to UW/Downtown/Airport. Well maintained HOA & Pet Friendly. No special assessment, No rental cap. The perfect blend of luxury & convenience! Show less"
