SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,Description
PAST SALE,May-16-2023,Single Family Residential,7348 27th Ave NW,Seattle,WA,98117,985000,4,2.0,Loyal Heights,1650,4360.0,1941.0,,597,,Sold,,,https://www.redfin.com/WA/Seattle/7348-27th-Ave-NW-98117/home/165904,NWMLS as Distributed by MLS Grid,2060748.0,N,Y,47.6827758,-122.3905815,"Perfectly remodeled Loyal Heights charmer. Fully updated in 2018, filled with natural light, both upstairs and down. This is the home for stylish buyers looking for move-in ready, with plenty of space, functionality, and convenience to Ballard amenities. Main floor features 2 bedrooms & full bath. Finished basement has 2 more beds (or bed + den/office/crafts), laundry room, storage room, & 2nd living area. If you love to entertain, this home has you covered! Host inside with the help of AC, or take the party outside to the perfectly manicured yard. Trex deck is perfect for outdoor entertaining, a shed for hobbies & equipment, & fully fenced yard for pets. Alley access can be easily converted back into a garage or parking. Show less"
PAST SALE,June-9-2023,Single Family Residential,2818 NW 69th St,Seattle,WA,98117,1625000,4,3.0,Sunset Hill,2380,5000.0,1928.0,,683,,Sold,,,https://www.redfin.com/WA/Seattle/2818-NW-69th-St-98117/home/165857,NWMLS as Distributed by MLS Grid,2058138.0,N,Y,47.6789113,-122.3938577,"Stunning remodel of a 1928 Sunset Hill Craftsman! Beautifully renovated to combine classic character w/stylish, modern living. Professionally designed & executed w/ highest quality materials & meticulous attention to detail. The result is a seamless blend of historic charm with contemporary comforts & conveniences. Hardwood floors, custom built-ins, arched doorways. The designer kitchen, which is a focal point, is filled with natural light, making it the perfect space for entertaining! It boasts a vaulted ceiling, quartz counters, center island, state-of-the-art appliances. Lower level built out as a legal ADU. New roof, windows, sky-lights, siding, deck, AC & Air Filtration System. Lush & private yard + garage. See full list of updates! Show less"
PAST SALE,June-15-2023,Single Family Residential,9530 15th Ave NW,Seattle,WA,98117,1300000,4,3.0,Crown Hill,2470,9576.0,1930.0,,526,,Sold,,,https://www.redfin.com/WA/Seattle/9530-15th-Ave-NW-98117/home/96673,NWMLS as Distributed by MLS Grid,2062317.0,N,Y,47.698864,-122.3764449,"Gorgeous Tudor on an exceptional property in Crown Hill. Period charm showcasing arched doorways, coved ceilings, gas fireplace, leaded glass doors & inlaid hardwoods. Remodeled kitchen w/breakfast nook. Primary suite features Olympic Mtns & Puget Sound views. 2 Spacious bedrooms on main w/full bath. Daylight basement Ensuite w/ separate entrance: great for guests, Aupair or AirBnB! Meticulously maintained home with essential systems updated. Anderson windows & doors. Abundant storage. Large, private fenced yard w/ covered deck & many spaces for relaxing & entertaining. Oversized 2-car garage w/Xtra storage above, gated driveway & RV parking pad. Conveniently located near parks, cafes & shops; min to Carkeek Park, Golden Gardens & Ballard. Show less"
PAST SALE,,Single Family Residential,8534 16th Ave NW,Seattle,WA,98117,1350000,5,3.5,,3430,4000.0,2007.0,,394,,,,,https://www.redfin.com/WA/Seattle/8534-16th-Ave-NW-98117/home/12303123,,,N,Y,47.6917432,-122.3775907,"Wonderful new custom craftsman style home in charming Ballard neighborhood. 3500 sq ft of quality detail and fine craftsmanship. Open spacious floor plan with very large rooms, chefs kitchen with stainless appliances, granite countertops, extensive hardwoods and much more. A must see. "
PAST SALE,November-18-2022,Single Family Residential,113 NW 76th St,Seattle,WA,98107,3150000,6,3.5,Phinney Ridge,3785,5150.0,2022.0,,832,,Sold,,,https://www.redfin.com/WA/Seattle/113-NW-76th-St-98117/home/497736,NWMLS as Distributed by MLS Grid,2018486.0,N,Y,47.6838172,-122.3586453,Another spectacular new home from ModernDen. Sold off-market as a presale. 
PAST SALE,September-29-2023,Single Family Residential,6529 6th Ave NW,Seattle,WA,98117,1513000,4,3.0,Ballard,2660,4820.0,1925.0,,569,,Sold,,,https://www.redfin.com/WA/Seattle/6529-6th-Ave-NW-98117/home/498728,NWMLS as Distributed by MLS Grid,2168219.0,N,Y,47.6768292,-122.3637754,Skipped after 4 retries
PAST SALE,March-7-2023,Single Family Residential,8037 25th Ave NW,Seattle,WA,98117,1675000,4,3.5,Loyal Heights,2824,3880.0,2022.0,,593,75.0,Sold,,,https://www.redfin.com/WA/Seattle/8037-25th-Ave-NW-98117/home/182313921,NWMLS as Distributed by MLS Grid,2034753.0,N,Y,47.6879166,-122.3889738,"Another boutique build by decades long and local builder, Aedifex. This home sits off the street with an inviting front yard. Inside you are greeted by a warm living room with fireplace that leads to a gracious, 5 piece custom kitchen & a huge island. Off the kitchen you'll find a large dining area that opens to a deck made for a BBQ. Upstairs you will find a proper Primary bedroom and 2 more nice sized bedrooms. The top floor has an en-suite bedroom and a flex space, with some peek-a-boo views of the city. The flex space is large enough for a media/tv room and an office. You will love living here. Show less"
PAST SALE,April-27-2023,Single Family Residential,8512 12th Ave NW,Seattle,WA,98117,1660000,4,3.5,Crown Hill,2980,4648.0,2016.0,,557,,Sold,,,https://www.redfin.com/WA/Seattle/8512-12th-Ave-NW-98117/home/101306,NWMLS as Distributed by MLS Grid,2048693.0,N,Y,47.6911502,-122.3711662,"Two stylish custom built homes! 2980 sq. ft. 4 bed/3.5 bath main home & 880 sq ft. DADU w/loft bedroom, 1.75 bath & private yard. The modern interior was designed to maximize natural light, functionality & privacy. Main floor is an open living space w/soaring ceilings, huge windows, large dining rm w/built-in buffet & access to multiple outdoor spaces to relax & entertain. Up the beautiful open modern staircase on the 2nd floor are 3 gracious bedrooms & large media/flex room. Luxurious primary suite is a sanctuary w/oversized rain shower, custom designed Japanese soaking tub, spacious closet & French doors opening to a 600 sq. ft. wrap around deck. Secure parking for 3 vehicles. Show less"
PAST SALE,November-30-2022,Single Family Residential,7359 Dibble Ave NW,Seattle,WA,98117,1530000,5,3.5,Whittier,3075,2750.0,2005.0,,498,,Sold,,,https://www.redfin.com/WA/Seattle/7359-Dibble-Ave-NW-98117/home/17065653,NWMLS as Distributed by MLS Grid,2014928.0,N,Y,47.6831379,-122.367574,"This award-winning architect designed home is a must see in the highly desirable Whittier Heights neighborhood. A true modern Craftsman home built w ease of living & style in mind, this home features three levels plus a basement. Open and bright updated kitchen w large island, dining, & family room that opens to beautiful west facing deck. A formal dining room & large living room round out this floor. Upstairs, three bedrooms including an undated en-suite primary w views. Two ample bedrooms, full bath, & laundry. Two more bedrooms & full bath, tons of storage, 2nd laundry, & door to large 2 car garage w electric car charge complete the entry level. Large rec room, & wine room in basement. New HVAC w AC, lots of updates. Close to everything! Show less"
PAST SALE,May-1-2023,Single Family Residential,8724 29th Ave NW,Seattle,WA,98117,1280000,4,2.0,North Beach,2340,9150.0,1956.0,,547,,Sold,,,https://www.redfin.com/WA/Seattle/8724-29th-Ave-NW-98117/home/163766,NWMLS as Distributed by MLS Grid,2049078.0,N,Y,47.6927754,-122.3938272,"Nestled above Seattle's spectacular Golden Gardens Beach/Park in the community of North Beach you will find this updated Mid-Century gem.  Terraced lot provides several distinct outdoor areas for relaxing, court sports (Pickle Ball anyone?), gardening, and an outbuilding that is the perfect retreat, artist studio, home office, or???  Main floor of the home is an open floor plan kitchen/dining/living space with vaulted ceilings, skylights, and gas fireplace.  Up a couple of stairs is the bedroom level with 3 bedrooms and a bath.  Down a few stairs is the media room, 4th bedroom, bath, laundry, large flex space (currently used as an office/guest room), and storage/shop space.  This is the home that you have been waiting for. Show less"
PAST SALE,June-27-2023,Single Family Residential,7036 11th Ave NW,Seattle,WA,98117,1360000,4,2.0,Whittier,2040,5000.0,1954.0,,667,,Sold,,,https://www.redfin.com/WA/Seattle/7036-11th-Ave-NW-98117/home/497315,NWMLS as Distributed by MLS Grid,2127178.0,N,Y,47.6806709,-122.3702269,"Immaculate Mid-Century Whittier home brimming with quality modern upgrades at every turn. Pristine Hardwoods, sleek polished concrete floors, & custom fir trim throughout elevate the light filled rooms. Every update has been taken care of for you- Ductless a/c, newer roof/gutters, classy bathrooms & kitchens, gas fireplaces, copper/pex plumbing, EV charger- the list goes on! Step outside your kitchen door to a truly magical backyard- lush, manicured landscaping, patio spaces, fruit, flowers, herbs, & dripping in sunlight. The lower level provides the perfect answer to today’s interest rates- a stylish LEGAL ADU featuring high end finishes and proven rental revenue! Also an ideal space for guests, entertaining, WFH, and/or au pair. Show less"
PAST SALE,May-23-2023,Single Family Residential,6723 Division Ave NW,Seattle,WA,98117,1250000,4,3.0,Whittier,2130,5300.0,1993.0,,587,,Sold,,,https://www.redfin.com/WA/Seattle/6723-Division-Ave-NW-98117/home/495762,NWMLS as Distributed by MLS Grid,2057982.0,N,Y,47.6784344,-122.3668483,"Enjoy comfortable living in this newly remodeled home in desirable Whittier Heights. Upper level features 3 bedrooms, 2 full baths and a big sunroom/den/office off primary suite. New kitchen and bathroom cabinets with quartz countertops, and bamboo flooring throughout main level. Covered deck off dining room with stairs to large level backyard. Downstairs is a fully self contained 1 bed ADU with new cabinetry and countertops, full sized washer and dryer and full bath. New interior and exterior paint. New furnace in 2022 and new roof in 2014. Large 2 car garage has workspace and additional storage room at the back. Also, 2 car off St parking in the driveway. Show less"
PAST SALE,,Single Family Residential,2754 NW 90th St,Seattle,WA,98117,1270000,4,3.0,,2280,7200.0,1975.0,,557,,,,,https://www.redfin.com/WA/Seattle/2754-NW-90th-St-98117/home/289694,,,N,Y,47.6944583,-122.3924789,"Design, function, and Structure… it is all here in this remodeled Modern home.  Architecture detail in the entry welcomes, w/ open floor plan & vaulted ceilings.  Enjoy entertaining in delightful kitchen, w/ teak cabinets, quartzite counters, stainless appliances & opens to large deck.  3 bdrms on main floor, include a master w/ tranquil bath.  Lower level has rec-room, laundry, separate entry & private guest suite.  2 car garage w/  400 amp service, a shop?  Welcome Home! Show less"
PAST SALE,December-16-2022,Single Family Residential,2809 NW 71st St,Seattle,WA,98117,2550000,6,4.5,Sunset Hill,3480,5000.0,2022.0,,733,,Sold,,,https://www.redfin.com/WA/Seattle/2809-NW-71st-St-98117/unit-A/home/165319,NWMLS as Distributed by MLS Grid,2017954.0,N,Y,47.6800984,-122.3936638,"Spectacular Sunset Hill home by boutique builder w/the highest level of quality, finish and detail! Home, detached dwelling and potential accessory dwelling sold together.Fantastic opportunity for very thoughtful design/attention to detail.Walking distance to schools/parks, convenient to transit, downtown, South Lake Union.Open concept living level w/large, open gourmet kitchen for entertaining w/high-end appliance package, large island and sliders to deck.Big private suite retreat w/cathedral ceilings, sweet views, large luxury shower and freestanding tub.Main living level bedroom/office.Huge rec room, bedroom, full bath and kitchen in daylight lower level.Two car garage w/DADU above w/bedroom.Hardwoods throughout.High-end Modern Lighting. Show less"
PAST SALE,July-24-2023,Single Family Residential,9636 26th Ave NW,Seattle,WA,98117,1200000,4,2.5,North Beach,2030,5200.0,1930.0,,591,,Sold,,,https://www.redfin.com/WA/Seattle/9636-26th-Ave-NW-98117/home/289962,NWMLS as Distributed by MLS Grid,2127171.0,N,Y,47.6996686,-122.3883282,"This charming home in the sought after enclave of the North Beach community is reminiscent of an English cottage w gorgeous landscaping. Main floor with circular floor plan includes spacious living room w/ woodstove and bed/ office, full bath, and spacious kitchen with custom cabinets, tile backsplash.  Upper level w 3 additional beds and 3/4 bath. Huge primary bed. New Heat Pump installed with A/C cooling.  New hot water tank. New interior paint and new carpet. Show less"
PAST SALE,June-22-2023,Single Family Residential,2822 NW 73rd St,Seattle,WA,98117,1572000,4,3.0,Ballard,2880,5000.0,1916.0,,546,,Sold,,,https://www.redfin.com/WA/Seattle/2822-NW-73rd-St-98117/home/166283,NWMLS as Distributed by MLS Grid,2075740.0,N,Y,47.6818862,-122.3940798,"Set on a beautiful tree-lined street, this gorgeous Craftsman offers classic design with a modern twist.  The storybook porch opens into the spacious open-concept living room flooded in natural light.  Grand entertaining spaces include large dining room, living room w/ gas fireplace, gourmet kitchen w/ slab granite counters, rich cabinetry & full bath on main floor. Updated kitchen opens onto the outdoor deck & lush grass yard for Summer BBQs and outdoor living. Three bedrooms upstairs including large primary suite w/ 5 piece bath. Lower level offers a light and bright bonus room, addtl guest suite w/en-suite bath, utility room.  2 car garage parking along w/ additional driveway spaces- a rare in city find. Show less"
PAST SALE,March-29-2023,Single Family Residential,7049 13th Ave NW,Seattle,WA,98117,1906000,4,3.5,Whittier,2968,4000.0,2016.0,,642,,Sold,,,https://www.redfin.com/WA/Seattle/7049-13th-Ave-NW-98117/home/496553,NWMLS as Distributed by MLS Grid,2038348.0,N,Y,47.6809629,-122.3728529,"Come home to sophisticated living in this beautifully appointed Whittier Heights retreat! You’ll find all the right spaces—gather in the fireside living room & casual great room, prep meals in the quartz/stainless chef’s kitchen with Bertazzoni range & seating island, or enjoy summer BBQs on the covered patio (with included natural gas grill!) & level, fenced lawn beyond. Your vaulted primary suite awaits upstairs with dream walk-in closet + 5-piece bath with heated floor. 2 more beds up, a main-floor den, & lower-level guest suite + theater/rec room with surround sound provide great flex space. High-efficiency systems & integrated smart features, too! Stroll to schools, parks, shops, dining & the pool from this peaceful residential street. Show less"
PAST SALE,June-22-2023,Single Family Residential,7544 30th Ave NW,Seattle,WA,98117,1315000,4,2.5,Loyal Heights,1857,6250.0,2023.0,,708,50.0,Sold,,,https://www.redfin.com/WA/Seattle/7544-30th-Ave-NW-98117/home/185467093,NWMLS as Distributed by MLS Grid,2070665.0,N,Y,47.6843726,-122.3954016,"Beautifully crafted NEW construction home in the best part of Loyal Heights. This green-built contemporary residence boasts an open concept layout and timeless design. Oak hardwoods, custom cabinetry, Bertazzoni appliances, induction range, huge kitchen island - perfect for entertaining. Powder room on main plus separate entrance with a mudroom for extra storage. Floor to ceiling windows allowing for abundant natural light. Spacious bedrooms with large built-in closets, en-suites with dual vanities, heated floors, rain showers and all the designer touches. Mini-split heating & cooling on every floor plus upper-level laundry. Fully fenced-in yard + patio area along with TWO parking spots - wired for EV charging. HOA estimated at $50/month. Show less"
PAST SALE,May-15-2023,Single Family Residential,3221 NW 75th St,Seattle,WA,98117,1457000,4,2.5,Sunset Hill,2460,4808.0,1942.0,,592,,Sold,,,https://www.redfin.com/WA/Seattle/3221-NW-75th-St-98117/home/290509,NWMLS as Distributed by MLS Grid,2050110.0,N,Y,47.6829535,-122.3993855,"Prime location one block from Sunset Hill Park. High-end remodel from top to bottom. The kitchen features a large granite island, SS appliances, and a gas cooktop. Designer cabinets with custom pull-outs and tons of storage. The main floor primary bedroom has an incredible walk-in closet with built-in organizers. The ensuite spa-like bath features two sinks, designer tile and a rain shower. Open plan perfect for entertaining. Two gas fireplaces elegantly framed in designer stone tiles. Spacious family room down. Incredible laundry room with built-in countertops, sink, and tons of cabinets. One-car garage with alley access. Relax or garden in the backyard. Highly rated schools. Move in ready! Show less"
