SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-27-2023,Single Family Residential,4815 S Brandon St,Seattle,WA,98118,1015000,5.0,3.0,Hillman City,2740.0,6180.0,1990.0,,370.0,,Sold,,,https://www.redfin.com/WA/Seattle/4815-S-Brandon-St-98118/home/491873,NWMLS as Distributed by MLS Grid,2050267.0,N,Y,47.553139,-122.2719385
PAST SALE,December-27-2022,Single Family Residential,8608 Seward Park Ave S,Seattle,WA,98118,649950,4.0,3.0,Seward Park,1620.0,2873.0,1996.0,,401.0,,Sold,,,https://www.redfin.com/WA/Seattle/8608-Seward-Park-Ave-S-98118/home/490528,NWMLS as Distributed by MLS Grid,2018019.0,N,Y,47.5264441,-122.264561
PAST SALE,February-22-2023,Townhouse,7322 Rainier Ave S #405,Seattle,WA,98118,523500,4.0,2.5,Seward Park,1530.0,,2006.0,,342.0,676.0,Sold,,,https://www.redfin.com/WA/Seattle/7322-Rainier-Ave-S-98118/unit-405/home/12448191,NWMLS as Distributed by MLS Grid,2024027.0,N,Y,47.5361591,-122.2698216
PAST SALE,March-23-2023,Single Family Residential,5433 S Hudson St,Seattle,WA,98118,1450000,4.0,3.0,Seward Park,3360.0,15372.0,1957.0,,432.0,,Sold,,,https://www.redfin.com/WA/Seattle/5433-S-Hudson-St-98118/home/489310,NWMLS as Distributed by MLS Grid,2066700.0,N,Y,47.5568769,-122.264401
PAST SALE,May-31-2023,Single Family Residential,5435 57th Ave S,Seattle,WA,98118,975000,5.0,2.5,Seward Park,2480.0,5610.0,1967.0,,393.0,,Sold,,,https://www.redfin.com/WA/Seattle/5435-57th-Ave-S-98118/home/490378,NWMLS as Distributed by MLS Grid,2077569.0,N,Y,47.5522393,-122.2622937
PAST SALE,November-23-2022,Single Family Residential,9341 54th Ave S,Seattle,WA,98118,525000,4.0,2.0,Rainier Beach,1595.0,5500.0,1904.0,,329.0,,Sold,,,https://www.redfin.com/WA/Seattle/9341-54th-Ave-S-98118/home/176173,NWMLS as Distributed by MLS Grid,2012950.0,N,Y,47.5178469,-122.2654122
PAST SALE,,Single Family Residential,4631 S Fontanelle St,Seattle,WA,98118,800000,5.0,3.0,,2370.0,5292.0,2002.0,,338.0,,,,,https://www.redfin.com/WA/Seattle/4631-S-Fontanelle-St-98118/home/174232,,,N,Y,47.5356482,-122.2740126
PAST SALE,,Single Family Residential,9603 55th Ave S,Seattle,WA,98118,630000,5.0,3.0,,2040.0,3769.0,2001.0,,309.0,,,,,https://www.redfin.com/WA/Seattle/9603-55th-Ave-S-98118/home/176190,,,N,Y,47.5166478,-122.2643356
PAST SALE,July-7-2023,Single Family Residential,6529 57th Ave S,Seattle,WA,98118,1785000,7.0,4.5,Seward Park,4520.0,8660.0,2003.0,,395.0,,Sold,,,https://www.redfin.com/WA/Seattle/6529-57th-Ave-S-98118/home/489557,NWMLS as Distributed by MLS Grid,2136590.0,N,Y,47.5434371,-122.2621528
PAST SALE,March-15-2023,Single Family Residential,7931 44th Pl S,Seattle,WA,98118,590000,4.0,2.0,Rainier Valley,1360.0,5830.0,1950.0,,434.0,,Sold,,,https://www.redfin.com/WA/Seattle/7931-44th-Pl-S-98118/home/174576,NWMLS as Distributed by MLS Grid,2033985.0,N,Y,47.5306161,-122.2772416
PAST SALE,,Single Family Residential,4244 S Kenny St,Seattle,WA,98118,970000,4.0,2.0,,2060.0,6600.0,1908.0,,471.0,,,,,https://www.redfin.com/WA/Seattle/4244-S-Kenny-St-98118/home/173030,,,N,Y,47.5490996,-122.2789507
PAST SALE,February-24-2023,Single Family Residential,5022 42nd Ave S,Seattle,WA,98118,905000,4.0,2.5,Columbia City,2090.0,3427.0,1998.0,,433.0,,Sold,,,https://www.redfin.com/WA/Seattle/5022-42nd-Ave-S-98118/home/490824,NWMLS as Distributed by MLS Grid,2025008.0,N,Y,47.556358,-122.2804587
PAST SALE,May-4-2023,Single Family Residential,9675 51st Ave S,Seattle,WA,98118,680000,5.0,3.0,Upper Rainier Beach,3080.0,7800.0,1967.0,,221.0,,Sold,,,https://www.redfin.com/WA/Seattle/9675-51st-Ave-S-98118/home/175593,NWMLS as Distributed by MLS Grid,2044798.0,N,Y,47.5148082,-122.2703892
PAST SALE,April-20-2023,Single Family Residential,7916 49th Ave S,Seattle,WA,98118,700000,4.0,2.0,Brighton,1500.0,5000.0,1960.0,,467.0,,Sold,,,https://www.redfin.com/WA/Seattle/7916-49th-Ave-S-98118/home/174107,NWMLS as Distributed by MLS Grid,2052415.0,N,Y,47.5310515,-122.2715106
PAST SALE,September-19-2023,Single Family Residential,3915 S Burns St,Seattle,WA,98118,480000,4.0,2.0,Beacon Hill,1740.0,6250.0,1949.0,,276.0,,Sold,,,https://www.redfin.com/WA/Seattle/3915-S-Burns-St-98118/home/479767,NWMLS as Distributed by MLS Grid,2157915.0,N,Y,47.5163363,-122.2835222
PAST SALE,May-22-2023,Single Family Residential,9748 59th Ave S,Seattle,WA,98118,750000,4.0,3.0,Upper Rainier Beach,1940.0,5250.0,1948.0,,387.0,,Sold,,,https://www.redfin.com/WA/Seattle/9748-59th-Ave-S-98118/home/177023,NWMLS as Distributed by MLS Grid,2058724.0,N,Y,47.5138065,-122.2591094
PAST SALE,February-22-2023,Single Family Residential,6742 38th Ave S,Seattle,WA,98118,585000,4.0,2.0,Seattle,1230.0,9750.0,1920.0,,476.0,,Sold,,,https://www.redfin.com/WA/Seattle/6742-38th-Ave-S-98118/home/478181,NWMLS as Distributed by MLS Grid,2030594.0,N,Y,47.5413313,-122.2844739
PAST SALE,November-29-2022,Single Family Residential,3831 S Eddy St,Seattle,WA,98118,1005000,4.0,3.0,Columbia City,2470.0,5000.0,1913.0,,407.0,,Sold,,,https://www.redfin.com/WA/Seattle/3831-S-Eddy-St-98118/home/174015,NWMLS as Distributed by MLS Grid,2006072.0,N,Y,47.5451639,-122.2835673
PAST SALE,November-4-2022,Single Family Residential,5138 S Myrtle St,Seattle,WA,98118,625000,4.0,3.0,Seward Park,2240.0,8691.0,1908.0,,279.0,,Sold,,,https://www.redfin.com/WA/Seattle/5138-S-Myrtle-St-98118/home/492172,NWMLS as Distributed by MLS Grid,2009987.0,N,Y,47.5391814,-122.2683829
