SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,Description
PAST SALE,May-24-2023,Condo/Co-op,1323 Boren Ave #305,Seattle,WA,98101,289000,0.0,1.0,First Hill,375.0,,2001.0,,771.0,310.0,Sold,,,https://www.redfin.com/WA/Seattle/1323-Boren-Ave-98101/unit-305/home/2116970,NWMLS as Distributed by MLS Grid,2053855.0,N,Y,47.6120881,-122.3282811,"A fantastic opportunity located on First Hill! The Bolero is just minutes away from the heart of downtown & all that Capitol Hill has to offer. NO Rental Cap-excellent rental investment? This studio lives larger than you would think. Washer & dryer in unit, lots of storage & balcony. For entertainment & relaxation, don't miss the fantastic rooftop deck w/BBQ grill, views of Lake Union & city skyline. Fitness center, mail room & entertainment lounge on site. Many restaurants, coffeehouses & shops within 10-min walk. Transit Score of 100-multiple bus lines nearby and 0.4 mi to LINK Light Rail, First Hill Streetcar or SLU Streetcar. You may not need a car, but there is a dedicated, end parking space in secured garage. Strong HOA! A must see! Show less"
PAST SALE,October-6-2023,Condo/Co-op,819 Virginia St #1909,Seattle,WA,98101,510000,1.0,1.0,Belltown,719.0,,2007.0,,709.0,640.0,Sold,,,https://www.redfin.com/WA/Seattle/819-Virginia-St-98101/unit-1909/home/12306367,NWMLS as Distributed by MLS Grid,2140428.0,N,Y,47.6160389,-122.3357053,"This modern condo is the perfect launchpad into urban living. Open concept layout w/ floor-to-ceiling windows w/ abundant natural light. Spacious bedroom w/ large WIC & private balcony perfect for morning coffee or evening drinks! Designer kitchen w/ stainless appliances & a custom den perfect for WFH. In-unit laundry/utility room & full bath. Fresh paint & new carpet throughout & move-in ready! 1 included parking space; amenities include a stunning rooftop deck w/panoramic views, on-site 24hr concierge, owner's lounge, work center, gym, sauna, & hot tub! Steps to SLU employment center: Fred Hutch, UW Medical, Facebook, Amazon, Pinterest & more! Enjoy hundreds of restaurants+ bars, Wholefoods, transit options, & Capitol Hill entertainment! Show less"
PAST SALE,December-28-2022,Condo/Co-op,819 Virginia St #2411,Seattle,WA,98101,599000,1.0,1.0,Belltown,954.0,,2007.0,,628.0,862.0,Sold,,,https://www.redfin.com/WA/Seattle/819-Virginia-St-98101/unit-2411/home/12306140,NWMLS as Distributed by MLS Grid,1984267.0,N,Y,47.6160389,-122.3357053,"Luxurious living at the Cosmopolitan.  This north facing 1-bed plus den perched on the 24th floor will impress!  Chef's kitchen features stainless steel appliances, gas stove, pantry and breakfast bar.  Open layout living area with gas burning fireplace and perfect bonus space for WFH office .  Main bedroom includes walk-in closet with custom shelving, full bath, and private balcony.  Beautiful H/W floors, stunning floor to ceiling windows and fresh paint throughout.  Comes with 1 parking space & Central A/C. Amenities: 24-hr Concierge, rooftop deck, gym, lounge, spa/sauna & more.  Not to miss! Show less"
PAST SALE,January-31-2023,Condo/Co-op,1920 4th Ave #712,Seattle,WA,98101,667500,1.0,1.5,Downtown,952.0,,2010.0,,701.0,833.0,Sold,,,https://www.redfin.com/WA/Seattle/1920-4th-Ave-98101/unit-712/home/28624098,NWMLS as Distributed by MLS Grid,2008637.0,N,Y,47.6130983,-122.33942150000001,"Reside in unparalleled luxury. Semi-private elevator takes you from parking to your elegant entry vestibule. Floor to ceiling windows frame expansive city views. Rich hardwood floors complement the sleek Pedini cabinetry, large entertaining island, & sleek stainless appliances. Spa-like 5-piece bath + guest powder room. Step outside to your own 120 SF deck to enjoy an evening cocktail and take in the city lights. Just steps to Seattle’s best restaurants & arts. Or entertain at home with Escala’s world class amenities: 24/7 concierge to help coordinate your evenings out, spa, yoga studio, fitness center w/ resistance pools, theater, wine cellar, + private dining & outdoor patios. Live the luxurious urban lifestyle you have been dreaming of! Show less"
PAST SALE,August-31-2023,Condo/Co-op,121 Stewart St #2604,Seattle,WA,98101,699000,1.0,1.0,Downtown,773.0,,2020.0,,904.0,703.0,Sold,,,https://www.redfin.com/WA/Seattle/121-Stewart-St-98101/unit-2604/home/175699753,NWMLS as Distributed by MLS Grid,2050911.0,N,Y,47.6106852,-122.3406126,"*Bonus* 6 mos of HOA's paid @ closing. This like-new, south facing home offers breathtaking views of Elliott Bay & iconic landmarks such as Lumen Field, T-Mobile Park, Pike Place Market, Seattle Aqua. & the Great Wheel. This efficient 1 bedroom+den layout is great for a home office or perfect to have as your pied a terre. The Emerald is only 1 block from Pike Place Market & 2 blocks from the waterfront. Custom wood cabinetry, hrdwd floors, full-size W/D, keyless entry, auto. blinds, custom built-in storage & floor-to-ceiling windows flood the unit with natural light. Luxury amenities include fitness center, yoga studio, pet run, guest suite along w/ a rooftop terrace with lounges, BBQs & firepits make it a great spot to gather with friends. Show less"
PAST SALE,July-14-2023,Condo/Co-op,819 Virginia St #1507,Seattle,WA,98101,460000,1.0,1.0,Downtown,800.0,,2007.0,,575.0,739.0,Sold,,,https://www.redfin.com/WA/Seattle/819-Virginia-St-98101/unit-1507/home/12304681,NWMLS as Distributed by MLS Grid,2140056.0,N,Y,47.6160389,-122.3357053,"Southwest corner unit at The Cosmopolitan Condos with city views! This immaculate & spacious floorplan features a fantastic formal entry with tons of storage, office nook, walk-in closet, gorgeous kitchen w/GE stainless steel appliances (gas stove), floor-to-ceiling windows, private balcony & luxurious bath. Unique & warm finish palette features granite counters, tile accents, hardwoods, carpet, and Kohler fixtures. Offering an amazing DTWN location w/highrise amenities-24hr concierge, fitness, sauna/spa, guest ste, clubroom, rooftop & business center! 1PRK incl. Show less"
PAST SALE,,Condo/Co-op,98 Union St #1105,Seattle,WA,98101,600000,1.0,1.0,,772.0,,1985.0,,777.0,,,,,https://www.redfin.com/WA/Seattle/98-Union-St-98101/unit-1105/home/33976,,,N,Y,47.6078387,-122.33964240000002,"Incredible views from Pike Place Market to the working Harbor and everything in between! It's mesmerizing! The unit has been updated to the 9's. Wood flooring throughout, new gourmet kitchen with Subzero refrigerator, beautiful Corian countertops, opens to the living and dining area to give the cook the opportunity to be involved with the guests as well as with the view! The building is situated at the south end of the Pike Place Arcade. A grand place to live!! Show less"
PAST SALE,November-15-2022,Condo/Co-op,1521 2nd Ave #1900,Seattle,WA,98101,2408000,2.0,1.5,Downtown,1824.0,,2008.0,,1320.0,1603.0,Sold,,,https://www.redfin.com/WA/Seattle/1521-2nd-Ave-98101/unit-1900/home/21617062,NWMLS as Distributed by MLS Grid,2017431.0,N,Y,47.6096957,-122.33979409999999,"This pristine residence offers phenomenal views of Elliott Bay, the Olympic Mountain range, the Seattle Big Wheel, Pike Place Market and sparkling City lights. The perfect setting for gracious entertaining of friends or quiet evenings at home enjoying the sunsets. A generously appointed residence with a large open living space, a Chef's kitchen with separate pantry, primary suite with Spa bath, 2nd bedroom & bath, all with views of Elliott Bay, and motorized blinds throughout. The residence has two parking spaces and a secure storage room. 5 star amenities: 24 hour Concierge, gym, yoga room, boardroom, terraces with two BBQ kitchens and fireplaces. Show less"
PAST SALE,May-5-2023,Condo/Co-op,1521 2nd Ave #3001,Seattle,WA,98101,2197000,3.0,2.0,Downtown,1864.0,,2008.0,,1179.0,1881.0,Sold,,,https://www.redfin.com/WA/Seattle/1521-2nd-Ave-98101/unit-3001/home/21617319,NWMLS as Distributed by MLS Grid,2065457.0,N,Y,47.6096957,-122.33979409999999,
PAST SALE,May-9-2023,Condo/Co-op,1808 Minor Ave Ph 100,Seattle,WA,98101,1550000,3.0,2.0,Denny Triangle,1582.0,,2020.0,,980.0,1558.0,Sold,,,https://www.redfin.com/WA/Seattle/1808-Minor-Ave-98101/unit-100/home/172710320,NWMLS as Distributed by MLS Grid,2066157.0,N,Y,47.6169899,-122.33058170000001,"Take in the city and Mt. Rainier views from this spacious, light & bright SW-facing Penthouse home at NEXUS. 3 bedrooms and 2 baths, there's ample room for the home office, guest suite and more. Features include: Miele appliances accompanied by Grohe fixtures and a custom built home automation system to streamline your day-to-day. NEXUS residents enjoy three full floors of state-of-the-art amenities including private dining facilities, co-working spaces, fitness room, theatre room, the rooftop Skyclub, and lavish outdoor areas and dog run with washing area. Show less"
