SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-24-2023,Condo/Co-op,1323 Boren Ave #305,Seattle,WA,98101,289000,0,1.0,First Hill,375,,2001,,771,310,Sold,,,https://www.redfin.com/WA/Seattle/1323-Boren-Ave-98101/unit-305/home/2116970,NWMLS as Distributed by MLS Grid,2053855,N,Y,47.6120881,-122.3282811
PAST SALE,October-6-2023,Condo/Co-op,819 Virginia St #1909,Seattle,WA,98101,510000,1,1.0,Belltown,719,,2007,,709,640,Sold,,,https://www.redfin.com/WA/Seattle/819-Virginia-St-98101/unit-1909/home/12306367,NWMLS as Distributed by MLS Grid,2140428,N,Y,47.6160389,-122.3357053
PAST SALE,December-28-2022,Condo/Co-op,819 Virginia St #2411,Seattle,WA,98101,599000,1,1.0,Belltown,954,,2007,,628,862,Sold,,,https://www.redfin.com/WA/Seattle/819-Virginia-St-98101/unit-2411/home/12306140,NWMLS as Distributed by MLS Grid,1984267,N,Y,47.6160389,-122.3357053
PAST SALE,January-31-2023,Condo/Co-op,1920 4th Ave #712,Seattle,WA,98101,667500,1,1.5,Downtown,952,,2010,,701,833,Sold,,,https://www.redfin.com/WA/Seattle/1920-4th-Ave-98101/unit-712/home/28624098,NWMLS as Distributed by MLS Grid,2008637,N,Y,47.6130983,-122.3394215
PAST SALE,August-31-2023,Condo/Co-op,121 Stewart St #2604,Seattle,WA,98101,699000,1,1.0,Downtown,773,,2020,,904,703,Sold,,,https://www.redfin.com/WA/Seattle/121-Stewart-St-98101/unit-2604/home/175699753,NWMLS as Distributed by MLS Grid,2050911,N,Y,47.6106852,-122.3406126
PAST SALE,July-14-2023,Condo/Co-op,819 Virginia St #1507,Seattle,WA,98101,460000,1,1.0,Downtown,800,,2007,,575,739,Sold,,,https://www.redfin.com/WA/Seattle/819-Virginia-St-98101/unit-1507/home/12304681,NWMLS as Distributed by MLS Grid,2140056,N,Y,47.6160389,-122.3357053
PAST SALE,,Condo/Co-op,98 Union St #1105,Seattle,WA,98101,600000,1,1.0,,772,,1985,,777,,,,,https://www.redfin.com/WA/Seattle/98-Union-St-98101/unit-1105/home/33976,,,N,Y,47.6078387,-122.3396424
PAST SALE,November-15-2022,Condo/Co-op,1521 2nd Ave #1900,Seattle,WA,98101,2408000,2,1.5,Downtown,1824,,2008,,1320,1603,Sold,,,https://www.redfin.com/WA/Seattle/1521-2nd-Ave-98101/unit-1900/home/21617062,NWMLS as Distributed by MLS Grid,2017431,N,Y,47.6096957,-122.3397941
PAST SALE,May-5-2023,Condo/Co-op,1521 2nd Ave #3001,Seattle,WA,98101,2197000,3,2.0,Downtown,1864,,2008,,1179,1881,Sold,,,https://www.redfin.com/WA/Seattle/1521-2nd-Ave-98101/unit-3001/home/21617319,NWMLS as Distributed by MLS Grid,2065457,N,Y,47.6096957,-122.3397941
PAST SALE,May-9-2023,Condo/Co-op,1808 Minor Ave Ph 100,Seattle,WA,98101,1550000,3,2.0,Denny Triangle,1582,,2020,,980,1558,Sold,,,https://www.redfin.com/WA/Seattle/1808-Minor-Ave-98101/unit-100/home/172710320,NWMLS as Distributed by MLS Grid,2066157,N,Y,47.6169899,-122.3305817
PAST SALE,March-1-2023,Condo/Co-op,1808 Minor Ave #3405,Seattle,WA,98101,989000,1,2.0,Denny Triangle,1074,,2020,,921,1058,Sold,,,https://www.redfin.com/WA/Seattle/1808-Minor-Ave-98101/unit-3405/home/172710587,NWMLS as Distributed by MLS Grid,2040790,N,Y,47.6169899,-122.3305817
PAST SALE,February-6-2023,Condo/Co-op,121 Stewart St #1404,Seattle,WA,98101,729000,1,1.0,Downtown,1003,,2020,,727,817,Sold,,,https://www.redfin.com/WA/Seattle/121-Stewart-St-98101/unit-1404/home/175699657,NWMLS as Distributed by MLS Grid,2025541,N,Y,47.6106852,-122.3406126
PAST SALE,May-1-2023,Condo/Co-op,121 Stewart St #2001,Seattle,WA,98101,1187000,2,2.0,Downtown,1189,,2020,,998,1058,Sold,,,https://www.redfin.com/WA/Seattle/121-Stewart-St-98101/unit-2001/home/175699702,NWMLS as Distributed by MLS Grid,2051644,N,Y,47.6106852,-122.3406126
PAST SALE,December-29-2022,Condo/Co-op,1808 Minor Ave #1806,Seattle,WA,98101,995000,2,2.0,Denny Triangle,1022,,2020,,974,929,Sold,,,https://www.redfin.com/WA/Seattle/1808-Minor-Ave-98101/unit-1806/home/172710450,NWMLS as Distributed by MLS Grid,2025351,N,Y,47.6169899,-122.3305817
PAST SALE,June-8-2023,Condo/Co-op,121 Stewart St #1304,Seattle,WA,98101,699000,2,1.0,Downtown,987,,2020,,708,817,Sold,,,https://www.redfin.com/WA/Seattle/121-Stewart-St-98101/unit-1304/home/175699649,NWMLS as Distributed by MLS Grid,2067038,N,Y,47.6106852,-122.3406126
PAST SALE,,Condo/Co-op,98 Union St #805,Seattle,WA,98101,560000,1,1.0,,772,,1985,,725,,,,,https://www.redfin.com/WA/Seattle/98-Union-St-98101/unit-805/home/62554,,,N,Y,47.6078387,-122.3396424
PAST SALE,June-1-2023,Condo/Co-op,99 Union St #1406,Seattle,WA,98101,4450000,2,2.5,Downtown,1992,,2008,,2234,4258,Sold,,,https://www.redfin.com/WA/Seattle/99-Union-St-98101/unit-1406/home/28559710,NWMLS as Distributed by MLS Grid,2075929,N,Y,47.6074727,-122.3391796
PAST SALE,June-9-2023,Condo/Co-op,1415 2nd Ave #2001,Seattle,WA,98101,879950,1,1.0,Downtown,610,,1991,,1443,647,Sold,,,https://www.redfin.com/WA/Seattle/1415-2nd-Ave-98101/unit-2001/home/11488,NWMLS as Distributed by MLS Grid,2125729,N,Y,47.608704,-122.3386233
PAST SALE,,Condo/Co-op,99 Union St #1406,Seattle,WA,98101,4450000,2,2.5,,1992,,2008,,2234,,,,,https://www.redfin.com/WA/Seattle/99-Union-St-98101/unit-1406/home/25674728,,,N,Y,47.6074727,-122.3391796
PAST SALE,May-5-2023,Condo/Co-op,1415 2nd Ave #1606,Seattle,WA,98101,535000,1,1.0,Downtown,670,,1991,,799,708,Sold,,,https://www.redfin.com/WA/Seattle/1415-2nd-Ave-98101/unit-1606/home/64168,NWMLS as Distributed by MLS Grid,2052117,N,Y,47.608704,-122.3386233
PAST SALE,April-4-2023,Condo/Co-op,1808 Minor Ave #3807,Seattle,WA,98101,680000,1,1.0,Denny Triangle,711,,2020,,956,702,Sold,,,https://www.redfin.com/WA/Seattle/1808-Minor-Ave-98101/unit-3807/home/172710623,NWMLS as Distributed by MLS Grid,2038238,N,Y,47.6169899,-122.3305817
PAST SALE,April-18-2023,Condo/Co-op,1808 Minor Ave #3410,Seattle,WA,98101,454900,0,1.0,Denny Triangle,433,,2020,,1051,425,Sold,,,https://www.redfin.com/WA/Seattle/1808-Minor-Ave-98101/unit-3410/home/172710592,NWMLS as Distributed by MLS Grid,2042437,N,Y,47.6169899,-122.3305817
PAST SALE,February-28-2023,Condo/Co-op,1415 2nd Ave #1901,Seattle,WA,98101,799950,1,1.0,Downtown,610,,1991,,1311,647,Sold,,,https://www.redfin.com/WA/Seattle/1415-2nd-Ave-98101/unit-1901/home/25105,NWMLS as Distributed by MLS Grid,2030027,N,Y,47.608704,-122.3386233
