zpid,Status Type,Status Text,Time On Zillow,Price,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,City,State,Zipcode,Latitude,Longitude,Broker Name,is zillow owned,Sold Date,Sold Price,Image URL,Detail URL,Search Page URL
88875728,SOLD,Sold,,4450000,2847,1563,4466700,1569,11436,,,2,3,"1521 2nd Avenue UNIT 3700, Seattle, WA 98101",1521 2nd Avenue UNIT 3700,Seattle,WA,98101,47.609043,-122.33915,,false,08/02/2023,4450000,https://photos.zillowstatic.com/fp/4ff4c42ca34ca3ad81a833a2b27c8c65-p_e.jpg,https://www.zillow.com/homedetails/1521-2nd-Ave-APT-3700-Seattle-WA-98101/88875728_zpid/,https://www.zillow.com/seattle-wa-98101/sold/3_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A47.61880923526842%2C%22east%22%3A-122.30423621667481%2C%22south%22%3A47.602896681836135%2C%22west%22%3A-122.3723857833252%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A14%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A99561%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A3%7D%7D
89208606,SOLD,Sold,,1065000,1350,789,1069100,792,2745,,,2,2,"737 Olive Way UNIT 2005, Seattle, WA 98101",737 Olive Way UNIT 2005,Seattle,WA,98101,47.613564,-122.33405,,false,07/31/2023,1065000,https://photos.zillowstatic.com/fp/2758682fee73a32c3c5ca43dd9352222-p_e.jpg,https://www.zillow.com/homedetails/737-Olive-Way-APT-2005-Seattle-WA-98101/89208606_zpid/,https://www.zillow.com/seattle-wa-98101/sold/3_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A47.61880923526842%2C%22east%22%3A-122.30423621667481%2C%22south%22%3A47.602896681836135%2C%22west%22%3A-122.3723857833252%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A14%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A99561%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A3%7D%7D
58383089,SOLD,Sold,,374000,602,621,375500,624,960,,,1,1,"1400 Hubbell Place UNIT 913, Seattle, WA 98101",1400 Hubbell Place UNIT 913,Seattle,WA,98101,47.61215,-122.32971,,false,07/28/2023,374000,https://photos.zillowstatic.com/fp/18b8b11efef80421fe93d05df6137bd8-p_e.jpg,https://www.zillow.com/homedetails/1400-Hubbell-Pl-APT-913-Seattle-WA-98101/58383089_zpid/,https://www.zillow.com/seattle-wa-98101/sold/3_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A47.61880923526842%2C%22east%22%3A-122.30423621667481%2C%22south%22%3A47.602896681836135%2C%22west%22%3A-122.3723857833252%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A14%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A99561%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A3%7D%7D
48978207,SOLD,Sold,,700000,713,982,702900,986,1816,,,1,1,"1415 2nd Ave UNIT 2010, Seattle, WA 98101",1415 2nd Ave UNIT 2010,Seattle,WA,98101,47.608646,-122.33878,,false,07/27/2023,700000,https://photos.zillowstatic.com/fp/443210280b483ebcd0e47046ff3e3bfb-p_e.jpg,https://www.zillow.com/homedetails/1415-2nd-Ave-UNIT-2010-Seattle-WA-98101/48978207_zpid/,https://www.zillow.com/seattle-wa-98101/sold/3_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A47.61880923526842%2C%22east%22%3A-122.30423621667481%2C%22south%22%3A47.602896681836135%2C%22west%22%3A-122.3723857833252%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A14%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A99561%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A3%7D%7D
48978172,SOLD,Sold,,480000,602,797,482000,801,1245,,,1,1,"1415 2nd Avenue UNIT 1705, Seattle, WA 98101",1415 2nd Avenue UNIT 1705,Seattle,WA,98101,47.608646,-122.33878,,false,07/26/2023,480000,https://photos.zillowstatic.com/fp/b15dcdd9b9614b88bd4c21701ffb5c2f-p_e.jpg,https://www.zillow.com/homedetails/1415-2nd-Ave-UNIT-1705-Seattle-WA-98101/48978172_zpid/,https://www.zillow.com/seattle-wa-98101/sold/3_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A47.61880923526842%2C%22east%22%3A-122.30423621667481%2C%22south%22%3A47.602896681836135%2C%22west%22%3A-122.3723857833252%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A14%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A99561%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A3%7D%7D
88875365,SOLD,Sold,,2175000,1968,1105,2178000,1107,5601,,,2,2,"1521 2nd Avenue UNIT 2701, Seattle, WA 98101",1521 2nd Avenue UNIT 2701,Seattle,WA,98101,47.609776,-122.339485,,false,07/26/2023,2175000,https://photos.zillowstatic.com/fp/8a1e0264c54db678c0890e7620802bc4-p_e.jpg,https://www.zillow.com/homedetails/1521-2nd-Ave-APT-2701-Seattle-WA-98101/88875365_zpid/,https://www.zillow.com/seattle-wa-98101/sold/3_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A47.61880923526842%2C%22east%22%3A-122.30423621667481%2C%22south%22%3A47.602896681836135%2C%22west%22%3A-122.3723857833252%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A14%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A99561%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A3%7D%7D
49002736,SOLD,Sold,,490000,855,573,492300,576,1271,,,2,1,"1101 Seneca Street UNIT 403, Seattle, WA 98101",1101 Seneca Street UNIT 403,Seattle,WA,98101,47.610687,-122.32591,,false,07/20/2023,490000,https://photos.zillowstatic.com/fp/1bf8945254d04d9f9f1076260a440809-p_e.jpg,https://www.zillow.com/homedetails/1101-Seneca-St-APT-403-Seattle-WA-98101/49002736_zpid/,https://www.zillow.com/seattle-wa-98101/sold/3_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A47.61880923526842%2C%22east%22%3A-122.30423621667481%2C%22south%22%3A47.602896681836135%2C%22west%22%3A-122.3723857833252%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A14%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A99561%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A3%7D%7D
2064731313,SOLD,Sold,,429900,433,993,431400,996,1109,,,0,1,"1808 Minor Avenue UNIT 3310, Seattle, WA 98101",1808 Minor Avenue UNIT 3310,Seattle,WA,98101,47.617115,-122.330734,,false,07/19/2023,429900,https://photos.zillowstatic.com/fp/0d719aa9418bff3b5784d69dd37a9630-p_e.jpg,https://www.zillow.com/homedetails/1808-Minor-Ave-3310-Seattle-WA-98101/2064731313_zpid/,https://www.zillow.com/seattle-wa-98101/sold/3_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A47.61880923526842%2C%22east%22%3A-122.30423621667481%2C%22south%22%3A47.602896681836135%2C%22west%22%3A-122.3723857833252%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A14%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A99561%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A3%7D%7D
80122646,SOLD,Sold,,460000,800,575,461400,577,1193,,,1,1,"819 Virginia Street UNIT 1507, Seattle, WA 98101",819 Virginia Street UNIT 1507,Seattle,WA,98101,47.616028,-122.3357,,false,07/14/2023,460000,https://photos.zillowstatic.com/fp/b6d936421560fbaae575cc79348d9a29-p_e.jpg,https://www.zillow.com/homedetails/819-Virginia-St-UNIT-1507-Seattle-WA-98101/80122646_zpid/,https://www.zillow.com/seattle-wa-98101/sold/3_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A47.61880923526842%2C%22east%22%3A-122.30423621667481%2C%22south%22%3A47.602896681836135%2C%22west%22%3A-122.3723857833252%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A14%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A99561%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A3%7D%7D
49090569,SOLD,Sold,,435000,762,571,436400,573,2155,0.3444674012855831,acres,1,1,"1300 University St APT 7, Seattle, WA 98101",1300 University St APT 7,Seattle,WA,98101,47.61273,-122.324814,,false,07/12/2023,435000,https://photos.zillowstatic.com/fp/fcb7a89a4056ab372a07d81168331f21-p_e.jpg,https://www.zillow.com/homedetails/1300-University-St-APT-7-Seattle-WA-98101/49090569_zpid/,https://www.zillow.com/seattle-wa-98101/sold/3_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A47.61880923526842%2C%22east%22%3A-122.30423621667481%2C%22south%22%3A47.602896681836135%2C%22west%22%3A-122.3723857833252%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A14%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A99561%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A3%7D%7D
